Site,RainThresh
mi204655,-1.9
mi204967,-2.2
mi205065,-1.9
mi205073,-0.6
mi205178,1
mi205452,-3.9
mi205567,-1.9
mi205712,-2.3
mi206184,-0.9
mi206300,-2.6
mi206438,-1.6
mi206507,-0.4
mi206680,-2.8
mi207227,-3.7
mi207277,1
mi207280,-3
mi207366,0.1
mi207812,-0.9
mi207820,-4
mi208184,-2.9
mi208251,-2
mi208417,-1.4
mi208800,-1.6
mn210018,-0.7
mn210075,-1.5
mn210112,-0.7
mn210252,-2.7
mn210287,-1.5
mn210667,-2.4
mn210746,-0.5
mn210939,-2
mn211107,-0.9
mn211198,-1.1
mn211263,0.7
mn211374,-2
mn211630,-0.7
mn211691,-1
mn211891,-0.6
mn212142,-0.5
mn212248,0
mn212698,-0.6
mn212721,-0.5
mn213174,-1.7
mn213282,-0.2
mn213290,-1.9
mn213303,-0.1
mn213411,-0.6
mn213730,0.7
mn214026,0.7
mn214106,-1.5
mn214176,-1.4
mn214652,-1.1
mn214778,-0.3
mn214793,-1
mn214861,-0.9
mn215392,-0.6
mn215400,-1.4
mn215435,-1.5
mn215563,-0.7
mn215598,-1.1
mn215615,-1.9
mn215638,-1.3
mn216276,-1.7
mn216360,-0.3
mn216547,-2.4
mn216565,-0.4
mn216612,-0.3
mn216654,-1.8
mn216787,-0.5
mn216835,1
mn217004,-2
mn217107,-0.4
mn217149,-1.6
mn217294,-1.8
mn217326,0
mn217405,-1.6
mn217460,0.8
mn217907,0.2
mn218311,0
mn218323,-0.9
mn218419,1
mn218579,-1.1
mn218679,-2.4
mn218692,-1.4
mn218907,0.4
mn219033,-0.4
mn219046,-1.2
mn219249,-0.6
mo230204,-3.7
mo230608,-2.3
mo230789,-5
mo230980,-2.9
mo231037,-4.1
mo231145,-3.5
mo231275,-5
mo231340,-2.9
mo231383,-3.9
mo231674,-5
mo231711,-4.4
mo231822,-2.2
mo232289,-5
mo232302,-4.4
mo232503,-4.6
mo232511,-3.4
mo232591,-4.3
mo232809,-5
mo233038,-5
mo233079,-4.3
mo233094,-3.3
mo233601,-5
mo234226,-5
mo234271,-5
mo234315,-4.1
mo234417,-5
mo234544,-3.6
mo234694,-3.8
mo234705,-3.5
mo234825,-3.9
mo234919,-4.6
mo235027,-2.8
mo235227,-4.1
mo235253,-5
mo235307,-3.7
mo235340,-3
mo235541,-4.1
mo235671,-4.7
mo235834,-3.9
mo235976,-3.9
mo235987,-2.8
mo236460,-3.3
mo236791,-4.5
mo236866,-2.8
mo237263,-2.3
mo237455,-4.2
mo237506,-4.3
mo237514,-3.8
mo237578,-5
mo237632,-4.8
mo237976,-3.3
mo238051,-4.8
mo238184,-4.3
mo238223,-3.4
mo238515,-3.4
mo238577,-3.5
mo238603,-4.8
